#{"env_id": 1, "t_start": 1534924858.3933766}
r,l,t
-99.846953,100,1541.27771
-100,100,1543.778508
-99.021552,100,1546.180384
-100,100,1548.628608
-100,100,1551.08419
-100,100,1553.585055
-100,100,1556.049037
-100,100,1558.534755
-99.955532,100,1560.989929
-85.425408,100,1563.456399
-98.439261,100,1565.911664
-100,100,1568.39642
-64.386426,100,1570.898967
-100,100,1573.231621
-93.8498,100,1575.603751
-99.931367,100,1577.921797
-100,100,1580.439176
-100,100,1582.942467
-100,100,1585.477546
-100,100,1587.949246
-100,100,1590.318905
-100,100,1592.783406
-99.728048,100,1595.254122
-100,100,1597.756945
-100,100,1600.290416
-99.684249,100,1602.830326
-94.651811,100,1605.39346
-96.194553,100,1607.879035
-5.026295,100,1610.350102
-100,100,1612.866646
-99.85115,100,1615.353335
-100,100,1617.918773
-100,100,1620.407159
-97.590513,100,1622.845813
-100,100,1625.32726
-99.257956,100,1627.866967
-100,100,1630.301058
-100,100,1632.83287
-84.530293,100,1635.373527
-100,100,1637.722317
-100,100,1640.208461
-83.824413,100,1642.665119
-97.405583,100,1645.167134
-76.165693,100,1647.799158
-33.743299,100,1650.300824
-100,100,1652.65028
-81.769591,100,1655.189688
-100,100,1657.737222
-95.696977,100,1660.223573
-98.39472,100,1662.711036
-100,100,1664.981294
-93.764673,100,1667.430627
-93.627078,100,1669.686202
-100,100,1672.205093
-100,100,1674.73972
-94.433315,100,1677.308752
-99.332162,100,1679.811485
-100,100,1682.361298
-100,100,1684.879263
-61.813546,100,1687.280937
-100,100,1690.148544
-100,100,1692.699341
-100,100,1695.238399
-100,100,1697.771062
-80.172273,100,1700.272835
-100,100,1702.761815
-91.995714,100,1705.281334
-74.256076,100,1707.8161
-39.227196,100,1710.139241
-99.38831,100,1712.755555
-100,100,1715.274063
-100,100,1717.821204
-100,100,1720.391021
-100,100,1722.891413
-100,100,1725.446505
-99.470506,100,1727.909851
-86.171887,100,1730.349026
-89.061795,100,1732.813626
-100,100,1735.084198
-99.932145,100,1737.617318
-99.826878,100,1740.1039
-100,100,1742.589314
-100,100,1745.615572
-100,100,1748.201156
-100,100,1750.701594
-87.107309,100,1753.234238
-97.228706,100,1755.736675
-92.143101,100,1758.324171
-99.580144,100,1760.858567
-55.028265,100,1763.374889
-100,100,1765.728903
-98.559733,100,1768.263855
-27.958949,100,1770.834188
-100,100,1773.220892
-61.066415,100,1775.800409
-100,100,1778.13949
-98.3533,100,1780.703549
-100,100,1783.205058
-100,100,1785.729029
-92.448713,100,1788.278426
-100,100,1790.64927
-79.210712,100,1793.151077
-98.002361,100,1795.636047
-87.534873,100,1798.117001
-99.347866,100,1800.472818
-100,100,1803.001423
-100,100,1805.492225
-95.530141,100,1808.026112
-97.66729,100,1810.549637
-93.084009,100,1813.067327
-100,100,1815.601357
-100,100,1818.156796
-100,100,1820.704766
-100,100,1823.274665
-97.471124,100,1825.775396
-98.105805,100,1828.260637
-100,100,1830.761235
-100,100,1833.164374
-100,100,1835.66666
-98.354766,100,1838.187009
-92.59779,100,1840.635343
-82.80666,100,1842.92075
-47.737817,100,1845.238601
-100,100,1847.708175
-96.660999,100,1850.156069
-99.999447,100,1852.641084
-100,100,1855.126583
-94.012409,100,1857.660462
-100,100,1860.131433
-89.722099,100,1862.717724
-100,100,1865.105056
-100,100,1867.691827
-99.742593,100,1870.225188
-81.084702,100,1872.797626
-75.650735,100,1875.078856
-95.95172,100,1877.449664
-100,100,1880.050372
-87.937656,100,1882.583406
-86.554164,100,1885.168637
-37.244,100,1887.723293
-100,100,1890.070626
-100,100,1892.557819
-100,100,1895.058219
-54.720308,100,1897.615051
-99.937405,100,1900.148879
-100,100,1902.734446
-98.456896,100,1905.320376
-85.722337,100,1907.800204
-91.473441,100,1910.171753
-100,100,1912.742753
-100,100,1915.246393
-99.530135,100,1917.734951
-94.047817,100,1920.283595
-99.07233,100,1922.800715
-100,100,1925.272445
-75.013228,100,1927.788965
-99.488364,100,1930.322925
-94.861183,100,1932.878659
-100,100,1935.22824
-100,100,1937.78313
-53.376187,100,1940.317619
-55.880965,100,1942.65614
-98.903114,100,1944.958292
-100,100,1947.408918
-97.217655,100,1949.911597
-95.97006,100,1952.366726
-100,100,1954.931928
-97.675176,100,1957.433817
-100,100,1959.933912
-98.871686,100,1962.519828
-100,100,1965.021511
-87.788149,100,1967.553108
-100,100,1969.855758
-100,100,1972.427946
-100,100,1974.914331
-100,100,1977.432209
-100,100,1979.950074
-98.798801,100,1982.504033
-93.433504,100,1985.052307
-100,100,1987.606533
-98.780149,100,1990.154908
-100,100,1992.693003
-100,100,1995.736573
-80.82809,100,1998.287264
-100,100,2000.843403
-100,100,2003.360662
-84.167017,100,2005.925967
-100,100,2008.449218
-100,100,2011.030078
-100,100,2013.653956
-99.831692,100,2016.171488
-99.011588,100,2018.705151
-100,100,2021.206859
-100,100,2023.762282
-98.897877,100,2026.342389
-100,100,2028.928492
-100,100,2031.48375
-100,100,2034.00297
-83.332933,100,2036.550952
-71.445692,100,2039.074701
-100,100,2041.593228
-77.997907,100,2044.179811
-100,100,2046.697503
-100,100,2049.182843
-91.251742,100,2051.700139
-100,100,2054.233261
-99.570098,100,2056.767614
-100,100,2059.323215
