EpLenMean,TotalRewardMean,EVAfter,KL,EVBefore,EpRewMean,EpRewSEM
100.0,-499383.66424119193,-6471026888640917.0,0.008077984,-7667434058791691.0,-100.0,0.0
100.0,-499482.3594434622,-2963479326508297.0,0.009265687,-3780862844412377.0,-98.69520227028502,0.0
100.0,-499582.3594434622,-2940221562457185.0,0.0070031835,-4460905127897676.0,-100.0,0.0
100.0,-499635.49973396276,-2214404303461452.2,0.0045024543,-2990674220131749.5,-53.14029050052144,0.0
100.0,-499731.1410373691,-1596745007696447.0,0.005116317,-2831570452166904.0,-95.64130340634836,0.0
100.0,-499831.1410373691,-577301675661670.0,0.0058630006,-1813927229926802.2,-100.0,0.0
100.0,-499919.0863261624,-148567886386217.28,0.0036597007,-414440458079724.3,-87.94528879328847,0.0
100.0,-500017.8227803959,-79941439259296.38,0.008835271,-67734803257635.195,-98.73645423350993,0.0
100.0,-500117.8227803959,-85548175492889.19,0.008303102,-118143405495109.2,-100.0,0.0
100.0,-500217.8227803959,-87543106163679.66,0.00906728,-86148760310762.08,-100.0,0.0
100.0,-500317.8227803959,-520147301983306.0,0.01579277,-664748006082619.8,-100.0,0.0
100.0,-500417.8227803959,-154033603880100.03,0.0059084324,-87046930187638.03,-100.0,0.0
100.0,-500517.8227803959,-528898897993273.4,0.00612819,-567591290363694.5,-100.0,0.0
100.0,-500617.8227803959,-223945985607634.78,0.0067850477,-226104650972047.4,-100.0,0.0
100.0,-500717.8227803959,-2716877918005024.0,0.01060961,-2864423063698060.0,-100.0,0.0
100.0,-500817.8227803959,-531596088728827.4,0.008413308,-547021970770000.25,-100.0,0.0
100.0,-500917.8227803959,-523140315746299.3,0.0067554913,-631079268220109.9,-100.0,0.0
100.0,-500994.5010144072,-147491331449594.28,0.0044730473,-425245561612861.6,-76.67823401130661,0.0
100.0,-501068.9724976724,-4540297689950059.0,0.0031682076,-4740785847243948.0,-74.4714832652504,0.0
100.0,-501168.9724976724,-133924555756960.16,0.006806015,-158210547860234.7,-100.0,0.0
100.0,-501266.3015279955,-170551566012623.72,0.008171923,-230571765002719.88,-97.32903032305933,0.0
100.0,-501291.5548512446,-439540582069317.06,0.004860006,-766181295709280.6,-25.253323249105026,0.0
100.0,-501391.5548512446,-476859731875770.56,0.01282823,-539998215759339.44,-100.0,0.0
100.0,-501488.984183142,-332809756772326.0,0.0050005587,-208275182391345.34,-97.42933189740816,0.0
100.0,-501578.15256384923,-1231241610913600.0,0.003275986,-1193951025669704.8,-89.16838070721991,0.0
100.0,-501677.896214595,-250345665414988.3,0.009667796,-862304526576702.9,-99.7436507457569,0.0
100.0,-501777.896214595,-518680958364323.56,0.015301734,-895127162676450.1,-100.0,0.0
100.0,-501876.4521074726,-89748508079503.53,0.00428075,-115277652975123.69,-98.55589287756015,0.0
100.0,-501916.9204404084,-488978881500231.44,0.0040657273,-505257903736660.94,-40.46833293580573,0.0
100.0,-502016.9204404084,-421960010337980.2,0.008014603,-239496663906038.1,-100.0,0.0
100.0,-502116.9204404084,-2552697002474620.5,0.008769783,-2507320294660160.5,-100.0,0.0
100.0,-502216.9204404084,-574592227646492.9,0.012818809,-990351640152173.5,-100.0,0.0
100.0,-502316.9204404084,-3613583070834216.5,0.009573626,-4575329897303401.0,-100.0,0.0
100.0,-502406.6815810397,-78296947659211.03,0.0038360818,-94730632428753.5,-89.76114063129559,0.0
100.0,-502467.34330171446,-3741026325358987.5,0.003695573,-4555214803343971.0,-60.661720674754065,0.0
100.0,-502503.225516968,-555721556009242.06,0.0028153243,-631715755206004.5,-35.88221525353127,0.0
100.0,-502597.66272258403,-670769750105024.9,0.0056116367,-963226842312859.5,-94.43720561601988,0.0
100.0,-502697.66272258403,-1285260644808901.0,0.009130163,-1823619200116909.5,-100.0,0.0
100.0,-502797.66272258403,-841675644466932.6,0.00659715,-1126584365193083.2,-100.0,0.0
